Step,Time,Drone_Position,Current_Target,Distance_Error,Waypoint_Reached,Reward,Info
36,2.3534905910491943,"[0.1152440533041954, 0.1363777071237564, 1.1843973398208618]","[4.335804462432861, -1.051645278930664, 1.7214096784591675]",4.417342,False,-4.417342185974121,"{'tracking_error': 4.417342, 'drone_position': [0.1152440533041954, 0.1363777071237564, 1.1843973398208618], 'current_target': [4.335804462432861, -1.051645278930664, 1.7214096784591675], 'disturbance': [0, 0, 0, 0], 'waypoint_reached': False}"
37,2.4165406227111816,"[0.12044846266508102, 0.14346559345722198, 1.1897029876708984]","[4.335804462432861, -1.051645278930664, 1.7214096784591675]",4.413641,False,-4.413640975952148,"{'tracking_error': 4.413641, 'drone_position': [0.12044846266508102, 0.14346559345722198, 1.1897029876708984], 'current_target': [4.335804462432861, -1.051645278930664, 1.7214096784591675], 'disturbance': [0, 0, 0, 0], 'waypoint_reached': False}"
38,2.4786789417266846,"[0.1259850114583969, 0.1505899429321289, 1.1947990655899048]","[4.335804462432861, -1.051645278930664, 1.7214096784591675]",4.409679,False,-4.409678936004639,"{'tracking_error': 4.409679, 'drone_position': [0.1259850114583969, 0.1505899429321289, 1.1947990655899048], 'current_target': [4.335804462432861, -1.051645278930664, 1.7214096784591675], 'disturbance': [0, 0, 0, 0], 'waypoint_reached': False}"
39,2.54059100151062,"[0.13181322813034058, 0.1579459011554718, 1.199590802192688]","[4.335804462432861, -1.051645278930664, 1.7214096784591675]",4.405559,False,-4.405559062957764,"{'tracking_error': 4.405559, 'drone_position': [0.13181322813034058, 0.1579459011554718, 1.199590802192688], 'current_target': [4.335804462432861, -1.051645278930664, 1.7214096784591675], 'disturbance': [0, 0, 0, 0], 'waypoint_reached': False}"
40,2.604199171066284,"[0.13777847588062286, 0.16575391590595245, 1.2041020393371582]","[4.335804462432861, -1.051645278930664, 1.7214096784591675]",4.4014874,False,-4.401487350463867,"{'tracking_error': 4.4014874, 'drone_position': [0.13777847588062286, 0.16575391590595245, 1.2041020393371582], 'current_target': [4.335804462432861, -1.051645278930664, 1.7214096784591675], 'disturbance': [0, 0, 0, 0], 'waypoint_reached': False}"
41,2.7297494411468506,"[0.1436595618724823, 0.1741158366203308, 1.2085344791412354]","[4.335804462432861, -1.051645278930664, 1.7214096784591675]",4.3976827,False,-4.3976826667785645,"{'tracking_error': 4.3976827, 'drone_position': [0.1436595618724823, 0.1741158366203308, 1.2085344791412354], 'current_target': [4.335804462432861, -1.051645278930664, 1.7214096784591675], 'disturbance': [0, 0, 0, 0], 'waypoint_reached': False}"
42,2.791560649871826,"[0.1493401974439621, 0.18288713693618774, 1.213168740272522]","[4.335804462432861, -1.051645278930664, 1.7214096784591675]",4.394185,False,-4.3941850662231445,"{'tracking_error': 4.394185, 'drone_position': [0.1493401974439621, 0.18288713693618774, 1.213168740272522], 'current_target': [4.335804462432861, -1.051645278930664, 1.7214096784591675], 'disturbance': [0, 0, 0, 0], 'waypoint_reached': False}"
43,2.8546197414398193,"[0.15491646528244019, 0.191779226064682, 1.2181302309036255]","[4.335804462432861, -1.051645278930664, 1.7214096784591675]",4.390811,False,-4.390810966491699,"{'tracking_error': 4.390811, 'drone_position': [0.15491646528244019, 0.191779226064682, 1.2181302309036255], 'current_target': [4.335804462432861, -1.051645278930664, 1.7214096784591675], 'disturbance': [0, 0, 0, 0], 'waypoint_reached': False}"
44,2.916562080383301,"[0.16057758033275604, 0.20059318840503693, 1.2233221530914307]","[4.335804462432861, -1.051645278930664, 1.7214096784591675]",4.3873353,False,-4.387335300445557,"{'tracking_error': 4.3873353, 'drone_position': [0.16057758033275604, 0.20059318840503693, 1.2233221530914307], 'current_target': [4.335804462432861, -1.051645278930664, 1.7214096784591675], 'disturbance': [0, 0, 0, 0], 'waypoint_reached': False}"
45,2.9789304733276367,"[0.1664666384458542, 0.20928709208965302, 1.2285668849945068]","[4.335804462432861, -1.051645278930664, 1.7214096784591675]",4.383631,False,-4.383631229400635,"{'tracking_error': 4.383631, 'drone_position': [0.1664666384458542, 0.20928709208965302, 1.2285668849945068], 'current_target': [4.335804462432861, -1.051645278930664, 1.7214096784591675], 'disturbance': [0, 0, 0, 0], 'waypoint_reached': False}"
